ID,TANK,SPECIES,TREATMENT,AGE,STATUS,TILE,ST,,,,,,,,,,,,,,
4EB2-4_3,E,PCLI,BLUE,6,1,4EB2-4,PCLIBLUE,,,,,,,,,,,,,,
6EB2-6_2,E,PCLI,BLUE,6,1,6EB2-6,PCLIBLUE,,,,,,,,,,,,,,
7EN2-5_1,E,PCLI,NATURAL,6,1,7EN2-5,PCLINATURAL,,,,,,,,,,,,,,
7EN2-5_2,E,PCLI,NATURAL,6,1,7EN2-5,PCLINATURAL,,,,,,,,,,,,,,
7EN2-5_4,E,PCLI,NATURAL,6,1,7EN2-5,PCLINATURAL,,,,,,,,,,,,,,
7EN2-5_5,E,PCLI,NATURAL,6,1,7EN2-5,PCLINATURAL,,,,,,,,,,,,,,
7EN2-5_6,E,PCLI,NATURAL,6,1,7EN2-5,PCLINATURAL,,,,,,,,,,,,,,
7EN2-5_7,E,PCLI,NATURAL,6,1,7EN2-5,PCLINATURAL,,,,,,,,,,,,,,
7EB1-6_1,E,PSTR,BLUE,6,1,7EB1-6,PSTRBLUE,,,,,,,,,,,,,,
8ES1-1_6,E,PSTR,SUNLIGHT,6,1,8ES1-1,PSTRSUNLIGHT,,,,,,,,,,,,,,
8EN1-3_7,E,PSTR,NATURAL,7,1,8EN1-3,PSTRNATURAL,,,,,,,,,,,,,,
4EB1-2_3,E,PSTR,BLUE,8,1,4EB1-2,PSTRBLUE,,,,,,,,,,,,,,
4EB1-2_4,E,PSTR,BLUE,8,1,4EB1-2,PSTRBLUE,,,,,,,,,,,,,,
5EB1-6_1,E,PSTR,BLUE,8,1,5EB1-6,PSTRBLUE,,,,,,,,,,,,,,
5EB1-6_3,E,PSTR,BLUE,8,1,5EB1-6,PSTRBLUE,,,,,,,,,,,,,,
7EB1-6_3,E,PSTR,BLUE,8,1,7EB1-6,PSTRBLUE,,,,,,,,,,,,,,
8EB1-4_1,E,PSTR,BLUE,8,1,8EB1-4,PSTRBLUE,,,,,,,,,,,,,,
8EB1-4_2,E,PSTR,BLUE,8,1,8EB1-4,PSTRBLUE,,,,,,,,,,,,,,
8EB1-4_7,E,PSTR,BLUE,8,1,8EB1-4,PSTRBLUE,,,,,,,,,,,,,,
3EN1-9_1,E,PSTR,NATURAL,12,1,3EN1-9,PSTRNATURAL,,,,,,,,,,,,,,
6EB1-5_5,E,PSTR,BLUE,13,1,6EB1-5,PSTRBLUE,,,,,,,,,,,,,,
3EB1-11_1,E,PSTR,BLUE,14,0,3EB1-11,PSTRBLUE,,,,,,,,,,,,,,
3EB1-11_2,E,PSTR,BLUE,14,0,3EB1-11,PSTRBLUE,,,,,,,,,,,,,,
3EB1-11_3,E,PSTR,BLUE,14,0,3EB1-11,PSTRBLUE,,,,,,,,,,,,,,
3EB1-17_1,E,PSTR,BLUE,14,0,3EB1-17,PSTRBLUE,,,,,,,,,,,,,,
3EB1-17_2,E,PSTR,BLUE,14,0,3EB1-17,PSTRBLUE,,,,,,,,,,,,,,
3EB1-17_3,E,PSTR,BLUE,14,0,3EB1-17,PSTRBLUE,,,,,,,,,,,,,,
3EB1-3_1,E,PSTR,BLUE,14,0,3EB1-3,PSTRBLUE,,,,,,,,,,,,,,
3EB1-3_2,E,PSTR,BLUE,14,0,3EB1-3,PSTRBLUE,,,,,,,,,,,,,,
3EB1-3_3,E,PSTR,BLUE,14,0,3EB1-3,PSTRBLUE,,,,,,,,,,,,,,
3EN1-1_1,E,PSTR,NATURAL,14,0,3EN1-1,PSTRNATURAL,,,,,,,,,,,,,,
3EN1-1_2,E,PSTR,NATURAL,14,0,3EN1-1,PSTRNATURAL,,,,,,,,,,,,,,
3EN1-1_3,E,PSTR,NATURAL,14,0,3EN1-1,PSTRNATURAL,,,,,,,,,,,,,,
3EN1-18_1,E,PSTR,NATURAL,14,0,3EN1-18,PSTRNATURAL,,,,,,,,,,,,,,
3EN1-18_2,E,PSTR,NATURAL,14,0,3EN1-18,PSTRNATURAL,,,,,,,,,,,,,,
3EN1-18_3,E,PSTR,NATURAL,14,0,3EN1-18,PSTRNATURAL,,,,,,,,,,,,,,
